,年,月,日期,收盘价
0,2010,2,2010-02-05,30.7
1,2010,3,2010-03-01,30.66
2,2010,4,2010-04-01,30.0
3,2010,5,2010-05-04,24.75
4,2010,6,2010-06-01,24.35
5,2010,7,2010-07-01,24.47
6,2010,8,2010-08-02,27.4
7,2010,9,2010-09-01,27.7
8,2010,10,2010-10-08,27.2
9,2010,11,2010-11-01,30.42
10,2010,12,2010-12-01,29.28
11,2011,1,2011-01-04,27.2
12,2011,2,2011-02-01,28.12
13,2011,3,2011-03-01,27.47
14,2011,4,2011-04-01,24.88
15,2011,5,2011-05-03,22.22
16,2011,6,2011-06-01,20.82
17,2011,7,2011-07-01,22.18
18,2011,8,2011-08-01,21.58
19,2011,9,2011-09-01,21.21
20,2011,10,2011-10-10,21.3
21,2011,11,2011-11-01,22.4
22,2011,12,2011-12-01,19.76
23,2012,1,2012-01-04,18.4
24,2012,2,2012-02-01,20.35
25,2012,3,2012-03-01,20.28
26,2012,4,2012-04-05,20.52
27,2012,5,2012-05-02,21.1
28,2012,6,2012-06-01,20.23
29,2012,7,2012-07-02,19.5
30,2012,8,2012-08-01,19.9
31,2012,9,2012-09-03,19.98
32,2012,10,2012-10-08,19.5
33,2012,11,2012-11-01,18.61
34,2012,12,2012-12-03,16.82
35,2013,1,2013-01-04,19.56
36,2013,2,2013-02-01,19.52
37,2013,3,2013-03-01,17.9
38,2013,4,2013-04-01,16.91
39,2013,5,2013-05-02,16.7
40,2013,6,2013-06-03,15.95
41,2013,7,2013-07-01,16.39
42,2013,8,2013-08-01,17.27
43,2013,9,2013-09-02,17.61
44,2013,10,2013-10-08,17.31
45,2013,11,2013-11-01,19.0
46,2013,12,2013-12-02,22.29
47,2014,1,2014-01-02,21.59
48,2014,2,2014-02-07,21.2
49,2014,3,2014-03-03,20.46
50,2014,4,2014-04-01,18.35
51,2014,5,2014-05-05,18.88
52,2014,6,2014-06-03,19.11
53,2014,7,2014-07-01,21.07
54,2014,8,2014-08-01,21.76
55,2014,9,2014-09-01,23.75
56,2014,10,2014-10-08,24.82
57,2014,11,2014-11-03,26.38
58,2014,12,2014-12-01,23.59
59,2015,1,2015-01-05,22.97
60,2015,2,2015-02-02,23.62
61,2015,3,2015-03-02,25.57
62,2015,4,2015-04-01,29.95
63,2015,5,2015-05-04,31.54
64,2015,6,2015-06-01,37.39
65,2015,7,2015-07-01,24.02
66,2015,8,2015-08-03,20.21
67,2015,9,2015-09-01,17.36
68,2015,10,2015-10-08,21.67
69,2015,11,2015-11-02,25.07
70,2015,12,2015-12-01,28.01
71,2016,1,2016-01-04,19.1
72,2016,2,2016-02-01,20.5
73,2016,3,2016-03-01,21.27
74,2016,4,2016-04-01,27.7
75,2016,5,2016-05-31,15.16
76,2016,6,2016-06-01,16.68
77,2016,7,2016-07-01,41.15
78,2016,8,2016-08-01,36.98
79,2016,9,2016-09-01,38.56
80,2016,10,2016-10-12,48.04
81,2016,11,2016-11-01,46.43
82,2016,12,2016-12-01,41.09
83,2017,1,2017-01-03,38.3
84,2017,2,2017-02-03,40.05
85,2017,3,2017-03-01,55.76
86,2017,4,2017-04-05,48.02
87,2017,5,2017-05-02,48.54
88,2017,6,2017-06-01,49.7
89,2017,7,2017-07-03,49.01
90,2017,8,2017-08-01,48.65
91,2017,9,2017-09-01,50.31
92,2017,10,2017-10-09,55.02
93,2017,11,2017-11-01,50.95
94,2017,12,2017-12-01,49.11
95,2018,1,2018-01-02,49.86
96,2018,2,2018-02-01,45.0
97,2018,3,2018-03-01,48.0
98,2018,4,2018-04-02,46.84
99,2018,5,2018-05-02,46.89
100,2018,6,2018-06-01,44.13
101,2018,7,2018-07-02,42.91
102,2018,8,2018-08-01,40.26
103,2018,9,2018-09-03,38.19
104,2018,10,2018-10-08,37.13
105,2018,11,2018-11-01,35.2
106,2018,12,2018-12-03,32.7
107,2019,1,2019-01-02,29.91
108,2019,2,2019-02-01,31.8
109,2019,3,2019-03-01,34.54
110,2019,4,2019-04-01,33.07
111,2019,5,2019-05-06,29.88
112,2019,6,2019-06-03,28.51
