,年,月,日期,收盘价
0,2010,2,2010-02-26,32.24
1,2010,3,2010-03-31,35.85
2,2010,4,2010-04-30,37.17
3,2010,5,2010-05-31,30.16
4,2010,6,2010-06-30,28.29
5,2010,7,2010-07-30,28.16
6,2010,8,2010-08-31,31.39
7,2010,9,2010-09-30,32.5
8,2010,10,2010-10-29,31.98
9,2010,11,2010-11-30,36.38
10,2010,12,2010-12-31,33.86
11,2011,1,2011-01-31,30.85
12,2011,2,2011-02-28,31.24
13,2011,3,2011-03-31,30.79
14,2011,4,2011-04-29,29.9
15,2011,5,2011-05-31,26.0
16,2011,6,2011-06-30,23.1
17,2011,7,2011-07-29,26.41
18,2011,8,2011-08-31,26.44
19,2011,9,2011-09-30,25.24
20,2011,10,2011-10-31,25.9
21,2011,11,2011-11-30,25.75
22,2011,12,2011-12-30,23.0
23,2012,1,2012-01-31,20.23
24,2012,2,2012-02-29,22.45
25,2012,3,2012-03-30,24.35
26,2012,4,2012-04-27,21.77
27,2012,5,2012-05-31,22.52
28,2012,6,2012-06-29,23.76
29,2012,7,2012-07-31,21.1
30,2012,8,2012-08-31,22.93
31,2012,9,2012-09-28,23.73
32,2012,10,2012-10-31,20.78
33,2012,11,2012-11-30,20.04
34,2012,12,2012-12-31,20.34
35,2013,1,2013-01-31,20.77
36,2013,2,2013-02-28,20.93
37,2013,3,2013-03-29,20.05
38,2013,4,2013-04-26,18.6
39,2013,5,2013-05-31,19.85
40,2013,6,2013-06-28,19.5
41,2013,7,2013-07-31,17.94
42,2013,8,2013-08-30,18.63
43,2013,9,2013-09-30,18.35
44,2013,10,2013-10-31,18.93
45,2013,11,2013-11-29,30.05
46,2013,12,2013-12-31,27.05
47,2014,1,2014-01-30,24.67
48,2014,2,2014-02-28,24.65
49,2014,3,2014-03-31,22.65
50,2014,4,2014-04-30,21.51
51,2014,5,2014-05-30,21.1
52,2014,6,2014-06-30,22.77
53,2014,7,2014-07-31,23.26
54,2014,8,2014-08-29,24.54
55,2014,9,2014-09-30,26.01
56,2014,10,2014-10-31,27.62
57,2014,11,2014-11-28,28.24
58,2014,12,2014-12-31,28.08
59,2015,1,2015-01-30,26.88
60,2015,2,2015-02-27,25.48
61,2015,3,2015-03-31,29.65
62,2015,4,2015-04-30,36.06
63,2015,5,2015-05-29,52.12
64,2015,6,2015-06-30,57.75
65,2015,7,2015-07-31,40.5
66,2015,8,2015-08-31,34.67
67,2015,9,2015-09-30,22.45
68,2015,10,2015-10-30,24.28
69,2015,11,2015-11-30,31.78
70,2015,12,2015-12-31,33.0
71,2016,1,2016-01-29,29.26
72,2016,2,2016-02-29,24.5
73,2016,3,2016-03-31,27.68
74,2016,4,2016-04-01,27.7
75,2016,5,2016-05-31,15.16
76,2016,6,2016-06-30,48.08
77,2016,7,2016-07-29,47.88
78,2016,8,2016-08-31,42.22
79,2016,9,2016-09-28,48.52
80,2016,10,2016-10-31,54.38
81,2016,11,2016-11-30,55.37
82,2016,12,2016-12-30,47.06
83,2017,1,2017-01-26,43.32
84,2017,2,2017-02-28,66.8
85,2017,3,2017-03-31,70.0
86,2017,4,2017-04-28,56.67
87,2017,5,2017-05-31,56.9
88,2017,6,2017-06-30,54.85
89,2017,7,2017-07-31,52.99
90,2017,8,2017-08-31,51.94
91,2017,9,2017-09-29,56.41
92,2017,10,2017-10-31,59.92
93,2017,11,2017-11-30,61.3
94,2017,12,2017-12-29,51.67
95,2018,1,2018-01-31,53.15
96,2018,2,2018-02-28,51.5
97,2018,3,2018-03-30,52.07
98,2018,4,2018-04-27,49.65
99,2018,5,2018-05-31,49.26
100,2018,6,2018-06-29,48.34
101,2018,7,2018-07-31,45.01
102,2018,8,2018-08-31,43.8
103,2018,9,2018-09-28,43.78
104,2018,10,2018-10-31,41.1
105,2018,11,2018-11-30,39.06
106,2018,12,2018-12-28,36.45
107,2019,1,2019-01-31,33.18
108,2019,2,2019-02-28,38.03
109,2019,3,2019-03-29,37.0
110,2019,4,2019-04-30,37.3
111,2019,5,2019-05-31,31.73
112,2019,6,2019-06-11,30.04
