报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),361535,175145,245663,470780,434695,785485,765877,709780,688398,467642,103211,61028,33004,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,21000,150000,126000,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收票据(万元),24254,21281,15162,8329,7686,11972,5267,139450,12608,467,284,1782,240,
应收账款(万元),542,849,1082,646,927,2175,5531,3641,3182,2667,404,435,539,
预付款项(万元),1898,8666,6932,8004,9805,15277,29158,57069,10038,14017,3262,2608,1236,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),4791,5708,11054,11703,11791,7967,3919,3880,5594,1585,847,1055,7240,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
存货(万元),1389212,1286150,1222152,1112238,1009702,877925,592315,379337,187062,91405,59497,45008,31459,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
一年内到期的非流动资产(万元),112000,55220,23890,35500,--,--,--,--,--,0,0,--,--,
其他流动资产(万元),1693248,1299638,1006524,498390,144525,--,--,--,--,0,0,0,0,
流动资产合计(万元),3587480,2852658,2532457,2145589,1619131,1721800,1552066,1419158,906881,577782,167505,111917,73718,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
可供出售金融资产(万元),271346,346028,145807,115869,112512,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),942,198,2103,4642,1982,97018,62735,51866,1394,680,775,881,274,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),1141497,1114872,1022166,860095,747487,602631,357516,185449,108074,58519,30414,--,--,
累计折旧(万元),358131,289916,225163,163203,111264,68096,45255,28959,20036,9183,6808,--,--,
固定资产净值(万元),783367,824956,797004,696891,636224,534535,312261,156489,88039,49336,23606,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
固定资产(万元),783367,824956,797004,696891,636224,534535,312261,156489,88039,49336,23606,19027,19161,
在建工程(万元),15375,23443,54467,152606,200222,206456,192063,100536,37752,5695,11281,2554,963,
