报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),2810524,2371159,2286951,1949166,1663976,1740515,1951814,1783728,1018648,481457,381902,211266,125102,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
收到的税费返还(万元),--,--,--,--,--,5,20,--,--,--,0,0,0,
收到的其他与经营活动有关的现金(万元),149357,42743,12105,41317,44937,49337,113515,53343,27898,20739,8854,10544,1509,
经营活动现金流入小计(万元),2959881,2413902,2299056,1990483,1708912,1789856,2065350,1837072,1046546,502196,390756,221810,126611,
购买商品、接受劳务支付的现金(万元),704249,697338,620399,575898,636390,652219,724160,636417,309184,165536,187688,83955,54117,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
支付给职工以及为职工支付的现金(万元),178687,153222,151043,124055,109376,100461,70142,63524,48948,23094,19027,14558,6923,
支付的各项税费(万元),852578,653560,575835,529881,510822,539191,551729,444474,224512,132936,91808,62590,34484,
支付的其他与经营活动有关的现金(万元),318692,221466,211274,177013,181144,179984,169348,136948,79928,37795,25743,12990,17443,
经营活动现金流出小计(万元),2054207,1725585,1558551,1406847,1437732,1471855,1515380,1281363,662571,359361,324265,174094,112967,
经营活动产生的现金流量净额(万元),905675,688317,740504,583636,271180,318001,549970,555708,383975,142835,66490,47716,13643,
收回投资所收到的现金(万元),3435773,3040035,803565,311045,557519,341917,592274,--,--,5000,50,0,0,
取得投资收益所收到的现金(万元),85948,56412,42234,12980,2625,1867,34,1179,--,75,74,381,2,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4513,61,773,443,272,1103,178,453,309,122,64,119,55,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,459,--,197,534,55,--,--,--,--,--,
收到的其他与投资活动有关的现金(万元),--,512,--,5209,5706,1450,--,--,22,--,--,--,--,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资活动现金流入小计(万元),3526233,3097019,846571,330136,566122,346534,593020,1687,332,5196,188,500,57,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),47105,32535,48021,71953,178652,267778,337338,193408,77596,21506,15596,8076,2475,
投资所支付的现金(万元),3814063,3480533,1375816,625814,731763,244985,614474,294167,632,5560,0,600,133,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
取得子公司及其他营业单位支付的现金净额(万元),--,54,19168,--,413,300,--,--,38534,--,0,-13,0,
支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资活动现金流出小计(万元),3861167,3513121,1443005,697766,910828,513063,951813,487576,116762,27066,15596,8663,2607,
投资活动产生的现金流量净额(万元),-334934,-416102,-596433,-367630,-344706,-166530,-358793,-485888,-116430,-21870,-15408,-8163,-2550,
吸收投资收到的现金(万元),--,--,--,--,--,--,--,1180,240,260900,0,0,5258,
其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,1180,240,400,--,--,--,
取得借款收到的现金(万元),--,--,--,--,--,306900,--,--,--,500,4700,3440,14813,
发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
收到其他与筹资活动有关的现金(万元),150,--,--,160000,220000,5272,--,--,--,--,--,--,--,
筹资活动现金流入小计(万元),150,0,0,160000,220000,312172,0,1180,240,261400,4700,3440,20071,
偿还债务支付的现金(万元),4,4,8354,4,95107,211804,4,--,10900,1200,5400,11213,20013,
分配股利、利润或偿付利息所支付的现金(万元),384282,316938,271354,215285,224341,217591,135077,49618,36128,16268,8199,3678,2841,
其中：子公司支付给少数股东的股利、利润(万元),--,470,8,--,--,--,--,4617,--,--,--,--,--,
支付其他与筹资活动有关的现金(万元),--,24770,90000,124503,177666,14645,--,--,--,467,0,79,0,
筹资活动现金流出小计(万元),384286,341712,369708,339792,497115,444039,135081,49618,47028,17935,13599,14970,22854,
筹资活动产生的现金流量净额(万元),-384136,-341712,-369708,-179792,-277115,-131867,-135081,-48438,-46788,243465,-8899,-11530,-2783,
汇率变动对现金及现金等价物的影响(万元),-65,-1171,520,-129,-149,3,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),186540,-70667,-225117,36084,-350789,19608,56096,21382,220756,364431,42183,28024,8310,
加:期初现金及现金等价物余额(万元),174995,245663,470780,434695,785485,765877,709780,688398,467642,103211,61028,33004,24695,
期末现金及现金等价物余额(万元),361535,174995,245663,470780,434695,785485,765877,709780,688398,467642,103211,61028,33004,
净利润(万元),811533,661879,580493,536520,450804,500215,615191,413661,229869,125361,74306,37485,17498,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
资产减值准备(万元),110,2287,4800,1191,3776,780,665,592,-310,249,1,49,49,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),70714,64464,62971,52748,44664,27115,16918,9462,6529,2726,1918,1822,1345,
无形资产摊销(万元),5012,4515,9564,9133,8983,8505,6680,6235,4690,317,297,223,95,
长期待摊费用摊销(万元),18,110,524,136,146,668,345,77,16,--,0,0,0,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
