报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),215400,243700,196800,360100,171200,112600,204900,234100,365100,224200,297400,773300,148000,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,700,--,400,--,--,--,--,--,--,--,--,0,
衍生金融资产(万元),100,--,--,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),718400,969300,835200,831100,860700,1062300,919800,591400,370300,339600,258300,608300,140900,
应收账款(万元),246000,246300,194200,112300,183500,213400,224700,187900,206100,177000,123500,93200,67600,
预付款项(万元),140800,177200,258600,249300,358700,304200,280600,386000,838000,621200,273100,660000,59200,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应收股利(万元),--,--,--,600,--,--,700,--,--,--,--,--,0,
其他应收款(万元),5000,26100,36200,4900,1800,1800,4000,3400,1500,1900,7800,6600,6800,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
存货(万元),1312500,1164300,1046600,800800,1086500,1235600,1064200,1424200,1313400,1065800,1037200,870100,703600,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他流动资产(万元),52600,30000,--,--,--,--,--,9400,--,--,--,--,0,
