报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),66369,37402,41666,33278,30127,59895,62762,41454,49242,16740,8890,4397,7594,5970,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,386,1016,513,
衍生金融资产(万元),--,--,--,--,7,--,--,--,--,0,0,--,--,0,
应收票据(万元),--,10584,7613,6027,12612,3316,3102,2674,1601,1678,552,317,1339,587,
应收账款(万元),81361,76728,61097,46287,45185,36490,41254,50792,41544,15961,9670,7328,6946,4714,
预付款项(万元),12688,14477,10763,13915,12879,10903,14263,12293,14173,13133,4444,3097,3758,4700,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收利息(万元),--,--,--,--,--,481,--,--,--,0,0,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他应收款(万元),3238,3955,4317,2861,2431,1775,4004,4402,1655,1898,3419,1094,710,2664,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
存货(万元),199205,186956,153719,121408,98477,93211,92319,75465,62309,47662,41033,37163,28321,27679,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
其他流动资产(万元),11236,10854,11857,8189,7112,12070,--,--,--,0,0,--,--,0,
流动资产合计(万元),386594,340956,291031,231965,208830,218141,217704,187081,170525,97071,68008,53781,49684,46827,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,3,
长期应收款(万元),3500,--,--,--,--,--,--,--,--,0,0,--,--,0,
长期股权投资(万元),2357,3013,3083,2646,2315,2313,3825,3846,4010,3830,0,--,--,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
投资性房地产(万元),475,488,--,--,--,--,--,--,--,0,0,--,--,0,
固定资产原值(万元),830204,748632,677942,545947,540626,519156,496388,311968,261419,232624,205227,145531,117089,107852,
累计折旧(万元),309118,266631,229306,202808,177149,150716,123068,98308,82000,66556,53102,41728,33882,27289,
固定资产净值(万元),521086,482001,448637,343139,363477,368440,373320,213660,179418,166068,152125,103803,83207,80564,
固定资产减值准备(万元),1562,1266,1144,2490,2606,2614,2875,2876,2876,2878,2930,2890,3229,3481,
固定资产(万元),519525,480735,447493,340649,360871,365826,370444,210784,176542,163189,149195,100913,79978,77083,
在建工程(万元),34346,27944,19287,45747,7987,6767,7889,116177,36717,14418,6606,40572,21929,1369,
工程物资(万元),--,--,--,3094,31,40,52,60,94,118,220,838,4,0,
固定资产清理(万元),--,--,--,--,756,--,--,--,--,0,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,3,4,6,13,25,38,45,44,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
无形资产(万元),29175,28438,29546,30339,27975,27508,27126,20969,9853,10126,8602,6581,6170,3819,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,
