报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1213595,1455129,1201355,1021313,862741,39665,141778,133734,127242,164393,197169,203948,303065,337188,
营业收入(万元),1213595,1455129,1201355,1021313,862741,39665,141778,133734,127242,164393,197169,203948,303065,337188,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业总成本(万元),989307,862694,625112,591074,512915,39768,154194,133268,133539,163477,205853,205966,302318,330010,
营业成本(万元),664960,491649,327673,301911,253976,35607,139616,123134,118178,152992,191723,193336,284253,317246,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
研发费用(万元),14797,22894,--,--,--,--,--,--,--,--,--,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业税金及附加(万元),28286,43192,39823,35917,31047,109,142,157,513,247,297,161,308,321,
销售费用(万元),225626,233100,199753,194439,172933,840,6072,4734,6337,4364,5410,6718,8591,6783,
管理费用(万元),57607,41220,52597,46922,43632,2984,6459,6846,7275,5233,6853,4682,5880,4989,
财务费用(万元),-1969,-9366,-12834,-14206,-12933,78,378,10,-207,91,137,-778,1072,515,
资产减值损失(万元),--,40004,18100,26093,24260,151,1527,-1612,1444,550,1433,1846,2214,157,
公允价值变动收益(万元),-5749,--,--,--,--,217,144,-168,-334,-8,255,-334,287,12,
投资收益(万元),21813,16834,74880,7,-66,291,618,815,-307,392,518,-378,3653,11,
对联营企业和合营企业的投资收益(万元),9623,-2794,-533,7,-66,--,--,--,-37,--,--,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业利润(万元),236602,695329,724414,430246,349760,405,-11654,1113,-6939,1300,-7911,-2730,4688,7200,
营业外收入(万元),100,449,385,104006,47721,270,699,50,119,102,294,3033,875,0,
营业外支出(万元),1885,1585,1627,2627,686,12,211,2,227,51,4,22,90,21,
非流动资产处置损失(万元),--,--,--,228,236,1,198,--,8,6,--,--,46,0,
利润总额(万元),234816,694193,723172,531626,396796,663,-11166,1161,-7046,1351,-7621,281,5473,7180,
所得税费用(万元),49309,114971,125833,86840,58218,4,1399,482,-1570,367,-812,-161,233,1288,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
净利润(万元),185508,579223,597340,444785,338577,659,-12565,679,-5476,984,-6808,442,5240,5892,
归属于母公司所有者的净利润(万元),187528,582297,600471,445121,338914,659,-12367,820,-5477,970,-6821,447,5232,5873,
被合并方在合并前实现净利润(万元),--,--,--,--,-4322,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-2020,-3075,-3131,-336,-337,--,-197,-141,1,14,13,-5,8,19,
基本每股收益,0.13,0.4,0.49,0.52,7.55,0.02,-0.41,0.03,-0.18,0.03,-0.23,0.01,0.17,0.19,
稀释每股收益,0.13,0.4,0.49,0.52,7.55,0.02,-0.41,0.03,-0.18,0.03,-0.23,0.01,0.17,0.19,
