报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),10444069,10058889,8512259,7435305,8073951,8064022,7712592,6811750,6274725,5288484,4107795,3770760,2310709,1718239,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
收到的税费返还(万元),11559,3860,3134,2828,1815,1405,1380,1136,1502,2170,2059,0,0,0,
收到的其他与经营活动有关的现金(万元),270093,233950,132952,190819,212622,189332,97281,102123,77228,36227,26523,14625,21839,5830,
经营活动现金流入小计(万元),10725721,10296700,8648345,7628951,8288388,8254759,7811253,6915009,6353456,5326881,4136377,3785385,2332548,1724069,
购买商品、接受劳务支付的现金(万元),7283283,7335566,6302998,3881467,3465714,4658258,4508417,4866505,5033651,4180901,2922363,2901357,1353113,991535,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
支付给职工以及为职工支付的现金(万元),617222,546514,478962,467278,453084,381973,348048,290255,253582,213640,181556,170201,132132,111983,
支付的各项税费(万元),484028,462302,415181,862763,1005553,701112,562445,312090,224295,223848,280980,293817,253785,214695,
支付的其他与经营活动有关的现金(万元),203501,171720,172289,204220,211465,137342,203777,217900,168663,102621,84693,68378,69333,55374,
经营活动现金流出小计(万元),8588033,8516102,7369430,5415727,5135816,5878686,5622687,5686748,5680192,4721009,3469592,3433753,1808363,1373587,
经营活动产生的现金流量净额(万元),2137688,1780598,1278915,2213225,3152572,2376073,2188566,1228261,673264,605872,666785,351632,524185,350482,
收回投资所收到的现金(万元),7328,35076,86491,22740,3731,7165,82092,61291,10566,74502,--,0,0,8476,
取得投资收益所收到的现金(万元),30893,39720,40263,53456,60303,44689,31226,12986,28362,14230,14442,10419,5575,1705,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),15138,6254,18358,17380,3454,--,2342,27010,1063,8720,888,3913,117,7600,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,6168,
收到的其他与投资活动有关的现金(万元),14972,38516,36021,70723,69035,26439,27829,20214,16622,2698,2754,3454,12133,2174,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
投资活动现金流入小计(万元),68330,119566,181133,164298,136523,78293,192244,177986,124565,100151,18084,17786,17825,26124,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1508912,1724498,1409666,1691354,1440094,1859008,1532815,1617689,1232489,1346867,1239585,1142889,1022048,1344005,
投资所支付的现金(万元),27721,18129,161030,15037,24757,22187,29741,30032,49702,436550,246605,59813,15841,84519,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,22664,42781,166091,155376,220083,260455,90975,1016,431,
