报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),10515700,8431000,5788200,5275900,7404600,7532900,7774800,9042300,9243100,7012600,7961600,6549900,5433000,
营业收入(万元),10515700,8431000,5788200,5275900,7404600,7532900,7774800,9042300,9243100,7012600,7961600,6549900,5433000,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
营业总成本(万元),9553300,7928200,5671800,5702700,7315400,7522000,8372300,9427100,9058900,6952300,7583400,5513000,4472200,
营业成本(万元),8812600,7274300,5018600,4946900,6549000,6692900,7563000,8640600,8269400,6371200,6661100,4834600,4030900,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
研发费用(万元),48300,--,--,--,--,--,--,--,--,--,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
营业税金及附加(万元),118400,89600,27100,22400,21300,19400,16700,16900,28500,18300,94800,76400,37000,
销售费用(万元),306700,233400,192800,231100,221800,174300,135500,154900,162200,108100,168700,159800,94300,
管理费用(万元),126600,180700,162600,180800,185000,327000,302300,333900,344100,296200,378800,352000,225400,
财务费用(万元),147100,117400,128600,134600,127200,121800,184600,147000,124900,90200,69400,75500,68500,
资产减值损失(万元),-7400,32800,142100,186900,211100,186600,170200,133800,129800,68300,210600,14700,16100,
公允价值变动收益(万元),6000,-600,--,400,--,--,--,--,--,--,--,--,0,
投资收益(万元),31500,43200,42700,39100,67300,55500,41200,40200,41100,18600,9600,8100,5200,
对联营企业和合营企业的投资收益(万元),28600,35100,33500,34000,58700,53300,40200,39100,39300,17600,8000,7700,4900,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
营业利润(万元),1008800,552600,159100,-387300,156500,66400,-556300,-344600,225300,78900,387800,1045000,966000,
营业外收入(万元),5600,1700,6100,18200,16100,15800,11600,21700,14200,9300,3300,4400,1100,
营业外支出(万元),13600,6300,3200,7200,14700,9400,4900,5200,3700,3900,6900,12100,29000,
非流动资产处置损失(万元),--,--,2300,3200,13700,8900,4100,4900,3500,3900,6300,11900,28900,
利润总额(万元),1000800,548000,162000,-376300,157900,72800,-549600,-328100,235800,84300,384200,1037300,938100,
所得税费用(万元),205600,-13200,500,83700,65500,-2700,-111600,-94900,40800,15700,85300,284800,237800,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
净利润(万元),795200,561200,161500,-460000,92400,75500,-438000,-233200,195000,68600,298900,752500,700300,
归属于母公司所有者的净利润(万元),795200,560500,161600,-459300,92800,77000,-415700,-214600,203900,72700,298900,752500,700300,
被合并方在合并前实现净利润(万元),126800,--,--,--,--,--,--,--,--,--,--,--,0,
少数股东损益(万元),--,700,-100,-700,-400,-1500,-22300,-18600,-8900,-4100,--,--,0,
基本每股收益,1.1,0.78,0.22,-0.64,0.13,0.11,-0.58,-0.3,0.28,0.1,0.41,1.12,1.11,
稀释每股收益,1.09,0.78,0.22,-0.64,0.13,0.11,-0.58,-0.3,0.28,0.1,0.41,1.12,1.11,
