报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),658779,667813,748216,646374,958465,552445,295330,310256,247426,126644,124381,187410,139324,133327,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收票据(万元),164556,113247,134868,117712,147801,145648,105416,63442,31565,11862,32462,1911,27101,707,
应收账款(万元),1061633,953791,916282,607777,790192,749764,734857,661371,492561,386205,325861,195019,169130,151915,
预付款项(万元),52638,32224,22239,38674,41853,48324,70936,92811,96527,85969,48215,16999,26097,6668,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收股利(万元),67426,77759,75085,66777,69032,44259,18684,6694,--,0,--,0,0,0,
其他应收款(万元),110233,113171,75787,100382,80532,101771,61190,140106,77766,60071,24199,20992,2195,14733,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
存货(万元),322259,344130,287123,273736,205286,326282,315631,338313,277751,176024,134617,178216,64978,73094,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,
一年内到期的非流动资产(万元),9655,5849,15788,9655,1000,--,--,4209,--,0,--,0,0,0,
