报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),1613112,1731834,691551,9401,10910,21863,12424,25616,27364,7564,5914,3992,321,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融资产(万元),1444,1782,3380,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收票据(万元),2096,917,441,6386,13028,18337,21351,6342,5246,1760,369,248,30,
应收账款(万元),735288,580415,455991,20966,17141,15694,18320,19118,11612,10504,8941,5447,3984,
预付款项(万元),251685,177403,149255,7248,8897,14368,11124,17064,8168,3057,1698,1677,665,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收利息(万元),--,5471,524,18,27,98,6,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),--,155436,101966,315,453,486,283,448,264,363,165,128,104,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
存货(万元),81805,44636,39601,15077,15510,15551,11950,9059,10041,5404,3931,3798,2727,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
一年内到期的非流动资产(万元),12320,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),300396,438457,682081,17,--,--,--,--,8,0,0,8,884,
流动资产合计(万元),3192161,3148962,2133317,59428,65967,86397,75459,77648,62703,28652,21017,15298,8715,
发放贷款及垫款(万元),9507,12610,8527,--,--,--,--,--,--,0,0,--,--,
可供出售金融资产(万元),342353,180327,69658,1003,1003,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),57149,21607,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),220343,60468,76970,--,--,1003,1003,1003,1003,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
投资性房地产(万元),245393,199159,214810,--,--,--,--,--,--,0,0,--,0,
固定资产原值(万元),2368696,1938541,1723207,31138,30667,27722,26075,21712,13414,9185,6196,--,--,
累计折旧(万元),972025,749045,555373,9337,7562,5859,4331,3075,2476,1754,1313,--,--,
固定资产净值(万元),1396670,1189496,1167834,21802,23105,21863,21744,18637,10938,7431,4883,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,5,5,0,--,--,
固定资产(万元),1396670,1189496,1167834,21802,23105,21863,21744,18637,10934,7426,4883,3388,2043,
在建工程(万元),--,230692,84450,67,--,11,43,494,811,45,71,95,282,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),666210,526352,447630,5053,5172,5296,5413,5438,5536,828,849,555,567,
开发支出(万元),58521,17118,24332,--,--,--,--,--,--,0,0,0,0,
商誉(万元),59037,6287,5803,--,--,--,--,--,--,0,0,0,0,
长期待摊费用(万元),164586,133008,127113,--,--,--,--,--,--,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
递延所得税资产(万元),58446,39680,41789,215,171,173,146,161,98,54,42,47,40,
其他非流动资产(万元),49796,12861,19783,973,974,380,--,--,--,0,0,0,0,
非流动资产合计(万元),3969295,2617054,2280171,29113,30425,28725,28350,25732,18381,8353,5845,4085,2932,
资产总计(万元),7161457,5766016,4413489,88541,96392,115122,103809,103380,81084,37005,26862,19383,11647,
短期借款(万元),858513,461919,546628,6700,9700,33406,16304,13300,5138,11008,7079,5300,3450,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
吸收存款及同业存放(万元),1027,--,--,--,--,--,--,--,--,0,0,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融负债(万元),--,78,121,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付票据(万元),--,--,--,5829,4500,5635,5100,11000,1700,1852,1400,342,0,
应付账款(万元),788734,690541,525918,1153,1462,1092,5622,1243,640,1641,1404,1561,1460,
预收账款(万元),46761,36818,28635,572,394,166,939,798,394,214,1475,391,292,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付手续费及佣金(万元),296747,--,--,--,--,--,--,--,--,0,0,--,--,
应付职工薪酬(万元),--,272071,213866,193,245,166,188,194,143,109,64,34,73,
应交税费(万元),63930,86736,41917,2246,2464,1025,1608,883,368,864,999,1947,1268,
应付利息(万元),--,1974,1390,278,327,353,205,182,158,143,128,129,57,
应付股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
其他应付款(万元),--,325552,348596,106,147,125,132,160,273,61,1001,514,1581,
