报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),2415980,1991794,1718311,1605244,1467221,1502362,1727048,1274092,761909,400205,268220,176201,107143,
营业收入(万元),2415980,1991794,1718311,1605244,1467221,1502362,1727048,1274092,761909,400205,268220,176201,107143,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
营业总成本(万元),1435236,1174157,1000304,949030,871573,836944,921640,722832,453922,233711,168404,117618,79203,
营业成本(万元),635324,668115,620298,611507,577741,594572,629420,532937,332859,166225,127807,90781,56378,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
研发费用(万元),2757,--,--,--,--,--,--,--,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
营业税金及附加(万元),376993,115187,30957,22939,19035,18729,24115,17917,8733,4186,2660,1622,1287,
销售费用(万元),256140,238745,186900,188241,167984,138771,177490,120943,73700,40518,22659,13837,12096,
管理费用(万元),170427,153215,158244,144788,126706,103741,102022,66098,44117,24598,16973,11297,8843,
财务费用(万元),-6514,-3391,-895,-19636,-23669,-19647,-12071,-15654,-5176,-2065,-1696,32,550,
资产减值损失(万元),110,2287,4800,1191,3776,780,665,592,-310,249,1,49,49,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
投资收益(万元),91829,62395,54721,57794,5302,5140,13468,1200,--,75,18,388,-122,
对联营企业和合营企业的投资收益(万元),182,-130,-389,-24,-18,--,--,--,--,--,-56,7,-124,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
营业利润(万元),1081365,883647,772728,714009,600951,670559,818876,552460,307987,166569,99835,58972,27818,
营业外收入(万元),3793,1982,4588,3626,4534,1859,4867,3710,3215,2087,684,302,113,
营业外支出(万元),1240,834,1220,1103,2414,3833,2197,3098,3581,1325,1235,1317,624,
非流动资产处置损失(万元),--,--,655,76,436,677,515,436,292,463,50,371,35,
利润总额(万元),1083919,884795,776097,716532,603071,668585,821546,553072,307622,167331,99284,57957,27307,
所得税费用(万元),272386,222917,195604,180012,152267,168370,206356,139411,77753,41970,24978,20472,9809,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,
净利润(万元),811533,661879,580493,536520,450804,500215,615191,413661,229869,125361,74306,37485,17498,
归属于母公司所有者的净利润(万元),811519,662717,582717,536519,450750,500207,615430,402099,220467,125362,74306,37474,17498,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,11,--,
少数股东损益(万元),14,-838,-2224,1,55,8,-240,11562,9402,-1,0,0,0,
基本每股收益,5.39,4.4,3.87,3.56,4.19,4.63,5.7,4.47,4.9,3.04,1.83,0.93,0.46,
稀释每股收益,5.39,4.4,3.87,3.56,4.19,4.63,5.7,4.47,4.9,3.04,1.83,0.93,0.46,
