报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),765275,668560,577573,486053,421336,365411,311938,271366,250578,210098,168634,131127,106079,87166,
营业收入(万元),765275,668560,577573,486053,421336,365411,311938,271366,250578,210098,168634,131127,106079,87166,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
营业总成本(万元),659584,574998,486383,426468,388197,344592,290771,244360,223030,174901,140029,115958,94922,75997,
营业成本(万元),497398,425760,360183,327520,295420,258374,220639,188530,176779,139183,106627,86540,73806,57190,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
研发费用(万元),33346,27965,--,--,--,--,--,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
营业税金及附加(万元),6919,6703,6162,4721,2334,2399,1850,1910,1587,1191,1157,953,810,607,
销售费用(万元),88508,75598,62884,55683,46347,42825,36619,33193,27164,21119,19990,17076,13132,11406,
管理费用(万元),25570,22820,46048,35111,30225,27447,23758,13802,11017,9061,8799,7309,5730,5234,
财务费用(万元),7843,12910,8550,5892,11959,11662,8095,6209,4767,3984,2863,3931,2215,1744,
资产减值损失(万元),--,3242,2556,-2460,1912,1886,-191,716,1716,363,592,150,-770,-185,
公允价值变动收益(万元),--,--,--,--,7,--,--,--,--,--,-66,-630,503,264,
投资收益(万元),-655,-70,896,337,250,-1512,-20,-164,130,189,611,--,0,0,
对联营企业和合营企业的投资收益(万元),-655,-70,437,331,2,-1512,-20,-164,130,--,0,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
营业利润(万元),109932,97584,97332,59923,33396,19307,21147,26843,27678,35387,29150,14539,11659,11433,
营业外收入(万元),1385,1091,952,5140,4519,4696,3700,6688,9597,4037,1947,848,1734,530,
营业外支出(万元),416,471,817,441,238,214,126,113,140,145,57,221,59,597,
非流动资产处置损失(万元),--,--,--,323,172,106,-92,-184,108,96,43,122,--,--,
利润总额(万元),110901,98205,97468,64622,37677,23789,24722,33417,37135,39279,31040,15166,13334,11366,
所得税费用(万元),16913,8234,8201,6863,5806,6107,6519,5397,4207,5704,1109,854,1194,1228,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
净利润(万元),93988,89971,89267,57758,31871,17682,18203,28021,32928,33575,29931,14312,12139,10137,
归属于母公司所有者的净利润(万元),90150,85667,84719,53509,28009,14719,14644,24319,29842,28500,21019,10450,9067,7904,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
少数股东损益(万元),3838,4304,4548,4249,3862,2963,3559,3702,3086,5075,8912,3862,3072,2234,
基本每股收益,1.09,1.04,1.03,0.65,0.85,0.45,0.44,0.74,0.95,0.98,0.77,0.39,0.33,0.29,
稀释每股收益,1.09,1.04,1.03,0.65,0.85,0.45,0.44,0.74,0.95,0.98,0.77,0.39,0.33,0.29,
