报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),8792738,7511527,7804940,9013207,7621447,3403422,3145498,1825940,1525008,28896,21650,38969,38911,30767,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
收到的税费返还(万元),--,--,--,--,--,--,--,--,--,30,--,--,--,--,
收到的其他与经营活动有关的现金(万元),645061,494291,354313,372570,900397,644717,204479,113629,138774,2324,191,1235,860,773,
经营活动现金流入小计(万元),9437799,8005817,8159252,9385778,8521844,4048139,3349976,1939569,1663783,31249,21841,40205,39771,31540,
购买商品、接受劳务支付的现金(万元),9233605,5837048,7096250,6616088,6136225,3554997,3154605,1505444,1268823,20267,14102,30206,30946,20061,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
支付给职工以及为职工支付的现金(万元),1017300,1221287,827778,463435,306443,219018,106480,80041,33746,1776,1244,2632,3440,2646,
支付的各项税费(万元),1636019,1067496,1101211,880539,636703,371493,256125,150180,88549,823,347,1581,501,650,
支付的其他与经营活动有关的现金(万元),732784,622768,756786,649409,697500,398032,180209,182150,248570,3646,3819,3910,4475,4811,
经营活动现金流出小计(万元),12619708,8748599,9782025,8609471,7776871,4543540,3697419,1917816,1639689,26512,19511,38329,39363,28169,
经营活动产生的现金流量净额(万元),-3181910,-742781,-1622773,776306,744972,-495401,-347442,21753,24094,4737,2330,1875,408,3371,
收回投资所收到的现金(万元),296181,481172,610312,1200680,1226124,1025000,806100,--,50,555,299,356,396,18,
取得投资收益所收到的现金(万元),25285,47817,41224,30985,30614,9666,2551,--,5,--,--,59,--,--,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),25676,5542,3000,9746,8278,13728,3,0,1,7,3342,947,1613,1850,
处置子公司及其他营业单位收到的现金净额(万元),693271,268574,3053,--,2994,4904,0,--,31067,--,530,-345,--,--,
收到的其他与投资活动有关的现金(万元),9899,59000,155946,175100,60000,--,--,--,8004,58,21,43,49,124,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资活动现金流入小计(万元),1050312,862105,813536,1416511,1328010,1053298,808655,0,39128,620,4192,1061,2058,1992,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),433771,298782,493215,382002,118215,85603,71414,45311,1859,5210,99,2064,7216,8417,
投资所支付的现金(万元),354908,699319,652370,1558003,1606143,1091100,895500,77783,65189,500,--,--,226,235,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
取得子公司及其他营业单位支付的现金净额(万元),75504,270797,1472246,1269990,13856,52348,109340,140903,23613,--,--,--,--,--,
支付的其他与投资活动有关的现金(万元),51242,94863,198696,712748,169350,97000,40000,--,24000,--,--,--,--,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资活动现金流出小计(万元),915426,1363761,2816527,3922743,1907564,1326051,1116254,263996,114661,5710,99,2064,7442,8652,
投资活动产生的现金流量净额(万元),134886,-501655,-2002991,-2506232,-579555,-272753,-307599,-263996,-75534,-5090,4093,-1003,-5384,-6660,
吸收投资收到的现金(万元),1997622,431718,4007085,1752925,790000,351525,319753,--,119530,--,--,--,--,149,
其中：子公司吸收少数股东投资收到的现金(万元),1052795,367569,3207085,963551,790000,351525,319753,--,119530,--,--,--,--,149,
取得借款收到的现金(万元),10440994,4212050,4226828,2788628,3920812,2599447,1355435,702230,170000,--,14100,5000,10500,5500,
发行债券收到的现金(万元),--,3095634,1869613,2466896,794200,--,--,--,--,--,--,--,--,--,
收到其他与筹资活动有关的现金(万元),82658,4249,52695,108110,151222,600,22400,--,--,--,--,--,--,--,
筹资活动现金流入小计(万元),12521273,7743651,10156220,7116559,5656234,2951572,1697588,702230,289530,0,14100,5000,10500,5649,
偿还债务支付的现金(万元),6437881,4468611,2052786,2988523,3053907,1237079,389485,186420,114160,2000,16100,6500,7500,9000,
分配股利、利润或偿付利息所支付的现金(万元),1793801,1149619,751250,604960,512561,299564,172850,67773,29234,82,252,411,283,469,
其中：子公司支付给少数股东的股利、利润(万元),--,--,--,60720,48064,20835,--,--,--,--,--,--,--,--,
