报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),9365443,8836507,7900684,6334605,7101469,6839772,6662467,5948997,5449081,4544878,3666182,3196078,2049246,1477627,
营业收入(万元),9365443,8836507,7900684,6334605,7101469,6839772,6662467,5948997,5449081,4544878,3666182,3196078,2049246,1477627,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),8851006,8613776,7907049,5774248,5755756,5949002,5980241,5852746,5610626,4690622,3526100,3529716,1881818,1300115,
营业成本(万元),8048248,7744983,7067681,4903377,4721301,4932651,5104208,4996836,4946489,4212101,3089533,3099392,1653317,1179160,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),111905,111188,90084,99132,70942,52889,44975,26846,20938,18644,24772,22794,20790,15739,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
管理费用(万元),171915,187167,167726,171641,199523,177279,176371,184313,151975,132443,116787,109913,68779,59668,
财务费用(万元),518938,532234,504380,491339,595521,624706,601921,622270,492526,328889,294846,296513,138191,45475,
资产减值损失(万元),--,12066,77179,108759,168469,161476,52766,22481,-1303,-1454,162,1105,741,74,
公允价值变动收益(万元),-969,-1722,--,--,--,--,--,--,--,--,0,0,0,0,
投资收益(万元),78054,91118,97814,32412,39844,83177,50915,110413,128179,84621,24183,-7761,13061,11796,
对联营企业和合营企业的投资收益(万元),75715,64690,46978,16600,33873,66451,50606,61304,55687,32823,21684,-10862,13061,9867,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业利润(万元),549327,356941,129926,592769,1385558,973947,733142,206665,-33366,-61123,164265,-341400,180489,189308,
营业外收入(万元),26427,11577,28408,68395,50180,41384,47542,75652,53100,85339,7661,27555,2656,585,
营业外支出(万元),22097,52911,28565,22027,54210,75159,58645,20786,2055,943,1835,2406,850,857,
非流动资产处置损失(万元),--,--,--,4393,13809,58783,37276,854,314,255,744,1083,0,0,
利润总额(万元),553658,315607,129769,639137,1381528,940173,722038,261531,17679,23273,170091,-316251,182295,189036,
所得税费用(万元),109803,88430,52178,176553,333528,194305,156512,69834,3207,12652,10800,-11835,27594,51996,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
净利润(万元),443854,227177,77591,462584,1048000,745868,565526,191697,14472,10621,159291,-304416,154701,137040,
归属于母公司所有者的净利润(万元),340692,169540,43013,334444,769388,590181,413861,141770,7919,20784,116243,-255810,122627,121222,
被合并方在合并前实现净利润(万元),861,--,--,--,60456,--,--,--,--,--,0,2462,0,0,
少数股东损益(万元),103162,57638,34579,128140,278612,155687,151665,49928,6553,-10163,43049,-48607,32074,15818,
基本每股收益,0.29,0.16,0.04,0.34,0.84,0.74,0.56,0.2,0.01,0.03,0.19,-0.43,0.2,0.2,
稀释每股收益,--,--,--,--,0.84,--,0.56,0.2,0.01,0.03,0.19,-0.43,0.2,0.2,
