报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),1330614,1583279,936482,788163,753781,1260819,943339,1062450,867002,954791,545205,576587,753276,343426,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,9375,9615,--,0,0,0,10018,
衍生金融资产(万元),7491,2873,25836,27860,13947,26114,9173,5527,14745,13263,14189,1548,--,0,
应收票据(万元),555242,462118,361093,243226,197779,80639,75533,35759,56336,63654,35163,66626,167493,113398,
应收账款(万元),2535194,2465776,2183667,1396121,1439961,1407557,1480679,1494237,1481448,1027259,969127,712824,620138,620403,
预付款项(万元),102245,125643,56461,68851,57397,74148,43495,101089,103224,122852,102422,65914,53717,39746,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收利息(万元),171,35,2232,11,18,35,7,7,2,73,71,201,225,155,
应收股利(万元),--,3000,27390,86141,30500,18896,15000,5000,12012,--,0,0,0,1,
其他应收款(万元),195294,148674,150821,158905,130730,99227,79364,93985,112437,160290,118341,42398,28176,21312,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
存货(万元),888318,954369,738541,687914,542273,670227,646903,702238,752562,519044,408399,516985,231929,213353,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
一年内到期的非流动资产(万元),50304,142512,77804,13630,11803,17908,1384,1375,2206,10133,1955,1017,--,0,
其他流动资产(万元),273762,225725,293445,225839,10471,3636,1729,3466,28815,8099,4612,17719,151,220,
流动资产合计(万元),6077509,6179907,4853771,3696662,3188659,3659206,3352373,3514507,3440405,2879458,2199483,2001818,1855106,1362034,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
可供出售金融资产(万元),--,--,165499,345603,512786,438338,162778,176944,163808,194973,229400,126204,334656,145876,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
长期应收款(万元),1128629,1204530,125656,57773,61828,53084,72621,82394,74166,70956,0,0,--,0,
长期股权投资(万元),2061592,1937030,1931725,1942025,1951663,1738164,1795194,1565332,1400755,1198263,955050,874500,851105,542552,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
投资性房地产(万元),67171,23255,21741,--,--,--,--,--,--,--,0,0,--,0,
固定资产原值(万元),51149319,49383304,47064391,36901730,35448116,30395456,28397700,27336768,25943135,21621232,19090976,15572129,12691404,12362487,
累计折旧(万元),25559184,23606712,21466120,16643324,15258441,12817882,11791058,10907748,10020856,8795236,7774350,6074511,5085154,4744124,
固定资产净值(万元),25590135,25776592,25598271,20258407,20189675,17577574,16606642,16429019,15922280,12825996,11316626,9497619,7606250,7618363,
固定资产减值准备(万元),1535112,1144847,1090323,758444,641679,603148,514036,492711,441478,460651,439756,368456,0,4200,
固定资产(万元),24055023,24631745,24507948,19499962,19547996,16974426,16092606,15936308,15480802,12365345,10876870,9129163,7606250,7614163,
在建工程(万元),3101349,2326456,2639676,2440420,2020255,1701450,1887753,1794737,2216533,2624306,2363699,1364079,880347,936666,
工程物资(万元),566998,275564,195076,287237,291111,260631,267828,70887,176605,601498,876487,1149206,407971,382527,
固定资产清理(万元),36,--,307,7850,10331,6278,5860,9324,15281,8700,0,0,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
无形资产(万元),1394886,1380570,1372822,1204334,1167986,1068725,1035014,1036201,1020716,750722,708589,680089,232167,184896,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
商誉(万元),1278540,1242268,1215642,1038869,993014,1114848,1218096,1383991,1320481,1195554,1091216,1067297,12944,13334,
长期待摊费用(万元),13246,33417,27808,19485,14812,16451,15024,15810,18168,15427,16413,18185,7623,8922,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
递延所得税资产(万元),327149,314346,298030,155867,130555,99887,76256,67284,71057,86718,54766,38448,25765,17346,
