报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),881318,781118,652207,529811,432256,420453,353210,285631,253844,230763,182295,146529,116427,97440,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
收到的税费返还(万元),5813,9108,7228,6479,4676,8147,11830,8678,7097,7022,2977,1557,0,1217,
收到的其他与经营活动有关的现金(万元),9590,7477,4622,2786,3201,6792,2914,9084,8755,5178,3406,1084,1079,1833,
经营活动现金流入小计(万元),896722,797703,664057,539077,440134,435392,367954,303393,269696,242964,188677,149170,117506,100491,
购买商品、接受劳务支付的现金(万元),551315,488415,387605,326918,271105,254621,227476,199111,192354,157735,122650,87358,80367,61412,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
支付给职工以及为职工支付的现金(万元),95696,86669,70502,57684,43626,39787,31493,25532,19917,13578,10790,8845,7727,5494,
支付的各项税费(万元),37801,35453,33468,25728,23102,25579,22304,20700,17323,15639,10764,7558,5081,5316,
支付的其他与经营活动有关的现金(万元),82312,72780,60298,50718,45247,45476,37863,26788,25236,21128,19603,17422,14077,12346,
经营活动现金流出小计(万元),767124,683317,551872,461048,383080,365463,319135,272131,254829,208080,163807,121183,107253,84567,
经营活动产生的现金流量净额(万元),129598,114386,112185,78028,57054,69929,48818,31262,14867,34884,24870,27987,10252,15924,
收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,930,0,3,--,
取得投资收益所收到的现金(万元),--,--,460,--,--,--,--,--,--,--,--,0,0,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1181,73,61,51,26,13,164,288,83,47,79,171,193,200,
处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
收到的其他与投资活动有关的现金(万元),--,--,1486,2354,3278,1475,3186,--,--,1563,--,0,2725,--,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
投资活动现金流入小计(万元),1181,73,2006,2405,3304,1487,3350,288,83,1611,1009,171,2921,200,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),82699,101245,92670,79738,27639,41522,69447,128099,50945,32273,26704,47631,30215,14702,
投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,3640,453,0,0,--,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
投资活动现金流出小计(万元),82699,101245,92670,79738,27639,41522,69447,128099,50945,35913,27157,47631,30215,14702,
投资活动产生的现金流量净额(万元),-81519,-101172,-90664,-77333,-24335,-40035,-66097,-127811,-50862,-34302,-26148,-47460,-27294,-14502,
吸收投资收到的现金(万元),--,--,--,--,--,--,--,1080,80491,--,--,2511,1500,3489,
其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,1080,720,--,--,2511,0,--,
取得借款收到的现金(万元),379713,328156,390052,391401,309413,434409,311838,398783,165508,199553,115460,85616,61280,39916,
发行债券收到的现金(万元),--,--,--,--,--,--,50000,--,--,--,--,0,0,--,
收到其他与筹资活动有关的现金(万元),19272,--,--,5100,39871,10032,595,679,--,--,32600,0,300,--,
筹资活动现金流入小计(万元),398985,328156,390052,396501,349284,444440,362433,400542,245999,199553,148060,88127,63080,43406,
偿还债务支付的现金(万元),379489,300412,364970,367822,354659,446515,307431,299185,164834,147962,133234,62113,37640,40656,
分配股利、利润或偿付利息所支付的现金(万元),40019,41387,35149,22444,17503,19059,13918,11740,10946,10743,9055,9739,6774,4757,
其中：子公司支付给少数股东的股利、利润(万元),2835,3345,3920,2646,1943,1598,842,715,540,3587,2519,2734,0,--,
支付其他与筹资活动有关的现金(万元),22220,20,--,--,--,--,50150,150,1924,34499,--,0,0,--,
筹资活动现金流出小计(万元),441729,341820,400119,390266,372162,465574,371500,311075,177704,193205,142289,71851,44414,45413,
筹资活动产生的现金流量净额(万元),-42743,-13664,-10067,6235,-22877,-21133,-9067,89467,68294,6349,5771,16276,18666,-2008,
汇率变动对现金及现金等价物的影响(万元),2362,-3814,-3066,-3779,262,-1595,-1654,-26,135,-286,--,0,0,--,
现金及现金等价物净增加额(万元),7698,-4264,8387,3151,10103,7165,-28000,-7108,32435,6643,4493,-3197,1624,-585,
加:期初现金及现金等价物余额(万元),37402,41666,33278,30127,20024,12859,40859,47968,15533,8890,4397,7594,5970,6555,
期末现金及现金等价物余额(万元),45100,37402,41666,33278,30127,20024,12859,40859,47968,15533,8890,4397,7594,5970,
净利润(万元),93988,89971,89267,57758,31871,17682,18203,28021,32928,33575,29931,14312,12139,10137,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
资产减值准备(万元),1630,3242,2556,-2460,1912,1886,-191,716,1716,363,592,150,-770,-185,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),44643,40779,33608,32100,30759,29736,24917,16602,15973,13095,11546,8676,6897,5989,
无形资产摊销(万元),1451,1377,1566,1111,1033,956,871,667,548,461,395,282,205,150,
长期待摊费用摊销(万元),834,383,369,799,615,580,250,10,14,16,8,0,0,--,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
处置固定资产、无形资产和其他长期资产的损失(万元),-15,80,-2,164,127,97,-164,-184,106,75,19,93,-139,486,
固定资产报废损失(万元),219,-7,570,--,--,--,--,--,--,--,--,0,0,--,
公允价值变动损失(万元),--,--,--,--,-7,--,--,--,--,--,66,630,-503,-264,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
财务费用(万元),9482,8953,6556,8573,10616,12544,9706,5936,4957,3915,2928,3477,1884,1268,
投资损失(万元),655,70,-896,-337,-250,1512,20,164,-130,-189,-611,0,-0,-0,
递延所得税资产减少(万元),-183,-1694,498,-319,175,-463,-241,-562,-549,446,-666,1701,1048,-2701,
递延所得税负债增加(万元),1643,197,449,39,216,268,--,--,--,--,-10,-164,110,64,
存货的减少(万元),-11977,-34221,-31966,-22585,-4744,-2950,-17225,-13092,-14648,-6568,-4064,-8842,-642,-9752,
经营性应收项目的减少(万元),-5483,-35283,-14833,6470,-20739,6819,8205,-11103,-25474,12684,-10191,1296,-2533,5487,
经营性应付项目的增加(万元),-7289,40539,24443,-3284,5469,1262,4466,4087,-575,-22990,-5074,6376,-7444,5245,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
其他(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
经营活动产生现金流量净额(万元),129598,114386,112185,78028,57054,69929,48818,31262,14867,34884,24870,27987,10252,15924,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,--,
现金的期末余额(万元),45100,37402,41666,33278,30127,20024,12859,40859,47968,15533,8890,4397,7594,5970,
现金的期初余额(万元),37402,41666,33278,30127,20024,12859,40859,47968,15533,8890,4397,7594,5970,6555,
