报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),17348480,16986116,15245944,11381424,12890487,12540686,13383287,13396666,13342077,10430770,7974233,6782514,5043461,4443392,
营业收入(万元),17348480,16986116,15245944,11381424,12890487,12540686,13383287,13396666,13342077,10430770,7974233,6782514,5043461,4443392,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),16544951,16844727,15116608,10204538,10757961,10832128,11633027,12566202,13308470,10082941,7458473,7255721,4455082,3709947,
营业成本(万元),14817234,15065944,13520927,8938995,9152126,9401050,10286505,11213654,12181677,9281845,6696117,6687630,4094307,3382525,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),6502,4622,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),183297,180721,137631,117782,115776,93248,104386,67204,48402,14764,16559,10639,15111,14806,
销售费用(万元),11689,4218,1747,1562,444,435,913,600,910,401,342,251,0,0,
管理费用(万元),455369,423322,396879,333649,399665,358833,343335,308741,291616,272448,236033,185493,152403,145023,
财务费用(万元),1070859,1047029,940574,692054,780935,766406,752264,888847,749353,510556,443543,362442,193909,170690,
资产减值损失(万元),--,114615,118849,120496,309015,212156,145625,87157,36512,2927,65880,9267,-648,-3096,
公允价值变动收益(万元),1949,-2001,-276,-1299,-1674,4254,-570,-117,-73,1185,-3364,-5466,-10018,10018,
投资收益(万元),141317,157285,221219,238314,169720,142389,85104,81729,80392,63206,80946,18483,134106,72510,
对联营企业和合营企业的投资收益(万元),118712,185152,44440,131311,158196,134304,62614,63016,66046,57205,75279,13377,58623,69673,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业利润(万元),463916,364844,409523,1413901,2300572,1855200,1834795,912076,113927,412221,593343,-460190,712468,815973,
营业外收入(万元),39130,17586,39448,98092,100182,98455,44904,69403,137780,56499,27893,29462,30321,2617,
营业外支出(万元),21765,38795,76968,75359,62241,66176,114769,38752,16892,9378,16252,12577,3802,12106,
非流动资产处置损失(万元),--,--,--,62335,47906,44579,91589,28427,4704,5050,10558,7038,1477,10930,
利润总额(万元),481281,343635,372004,1436634,2338513,1887479,1764930,942726,234814,459342,604984,-443304,738987,806484,
所得税费用(万元),243490,102895,157347,358011,583545,551058,454495,257481,98388,91310,65669,-21982,97226,124558,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
净利润(万元),237791,240741,214657,1078622,1754968,1336421,1310435,685245,136426,368033,539314,-421322,641761,681926,
归属于母公司所有者的净利润(万元),168646,143888,179315,881429,1378605,1054575,1052013,586865,126825,354430,508100,-370123,599706,592362,
被合并方在合并前实现净利润(万元),--,-1106,--,--,--,--,--,--,--,--,-1193,0,--,--,
少数股东损益(万元),69145,96853,35342,197193,376363,281846,258421,98380,9601,13602,31215,-51199,42055,89564,
基本每股收益,0.06,0.07,0.11,0.58,0.95,0.75,0.75,0.42,0.09,0.29,0.42,-0.31,0.5,0.49,
稀释每股收益,0.06,0.07,0.11,0.58,0.95,0.75,0.75,0.42,0.09,0.29,0.42,-0.31,0.5,0.49,
