报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),1321978,1335777,1236922,1093768,924373,44573,161047,151542,146815,189171,204797,249267,304456,352300,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
收到的税费返还(万元),--,--,--,--,--,495,4500,3960,2240,4319,6258,4794,3653,2534,
收到的其他与经营活动有关的现金(万元),81731,136938,84601,137356,82347,880,874,1540,2329,6048,5443,4556,6726,8772,
经营活动现金流入小计(万元),1403708,1472715,1321523,1231124,1006720,45948,166421,157042,151383,199538,216499,258618,314835,363606,
购买商品、接受劳务支付的现金(万元),449220,447948,327556,310828,246695,38395,146949,137570,131945,175020,187947,230964,296205,334308,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
支付给职工以及为职工支付的现金(万元),163759,116617,93938,88621,100199,4178,7091,7938,9133,7413,4198,5779,5806,5796,
支付的各项税费(万元),144846,216072,201745,176032,222104,665,1274,2237,1569,810,1700,1528,2426,2902,
支付的其他与经营活动有关的现金(万元),302896,313793,282659,175642,174676,2130,7021,9750,9905,13022,9412,9113,18522,13294,
经营活动现金流出小计(万元),1060721,1094430,905897,751123,743674,45368,162334,157495,152553,196265,203256,247383,322959,356300,
经营活动产生的现金流量净额(万元),342987,378284,415625,480001,263045,580,4087,-453,-1170,3273,13242,11235,-8124,7306,
收回投资所收到的现金(万元),6977,34097,--,2483,--,1900,80,5521,19063,31663,43768,16035,43778,217,
取得投资收益所收到的现金(万元),12558,12966,7478,--,--,281,61,779,26,946,133,16,101,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),167,677,84,23,350,256,1350,16,28,8,71,3082,1851,34,
处置子公司及其他营业单位收到的现金净额(万元),--,--,2353,--,--,--,--,--,--,167,217,-235,0,200,
收到的其他与投资活动有关的现金(万元),1059331,1229637,1356904,20000,345712,961,--,--,2055,445,--,173,0,0,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
投资活动现金流入小计(万元),1079032,1277377,1366819,22506,346062,3399,1491,6316,21171,33229,44189,19071,45729,451,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),34264,170883,26332,9496,9282,4451,8600,7874,4643,9821,227,2862,4396,3240,
投资所支付的现金(万元),79847,124126,97171,80298,46523,445,220,2708,20710,33362,40647,20829,37969,2600,
质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
取得子公司及其他营业单位支付的现金净额(万元),1557,--,--,970,352391,--,--,--,--,--,--,--,0,0,
支付的其他与投资活动有关的现金(万元),1121535,1120652,1447014,222260,--,33,2173,--,--,--,--,1247,0,300,
增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,
投资活动现金流出小计(万元),1237203,1415661,1570517,313024,408196,4929,10994,10582,25353,43182,40874,24939,42365,6140,
投资活动产生的现金流量净额(万元),-158171,-138284,-203697,-290518,-62134,-1529,-9502,-4266,-4182,-9953,3315,-5868,3365,-5689,
吸收投资收到的现金(万元),9074,4024,3329,486263,839,--,98,0,200,--,--,--,0,30,
