报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),31750068,27325296,32086046,21640982,15406926,12340070,11735957,8815662,8209860,7897382,3415577,2598844,1568186,1309280,
结算备付金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
交易性金融资产(万元),462263,456674,112683,113023,103776,81510,100568,78039,109667,104344,2356,11068,37634,7934,
衍生金融资产(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收票据(万元),2143828,1693783,884869,673134,535512,1568610,718821,212887,64398,25857,17424,15738,10784,6555,
应收账款(万元),16755294,13771367,13864931,11555690,11843037,8359381,8116450,6601987,4806384,3928444,3310336,3089151,2728041,2419154,
预付款项(万元),4861161,3296720,3091751,2746486,3112901,3401102,3154713,2202180,1782343,2768487,1074359,962625,747652,647070,
应收保费(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收利息(万元),--,14049,9483,32495,16604,29866,10980,16777,0,0,182,193,0,0,
应收股利(万元),--,2224,3960,683,94,1609,13610,716,750,2500,701,8,50,64,
其他应收款(万元),--,5554728,4948945,3417690,2499488,1845945,1654837,970458,951398,955509,1062250,945276,885348,723307,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,11700,0,0,0,0,0,0,
存货(万元),63496709,53588723,49426889,38758944,34827335,32238225,25438205,15034214,11567858,5864948,5710446,4319378,2689143,1851297,
待摊费用(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),5351756,4854277,4131048,3385091,1749910,1056063,828532,544331,319929,249036,195308,92659,63938,58566,
