报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),9545306,9338963,6460776,5912432,6189029,7019433,7522746,7759814,7238187,6067238,4794292,3683576,3282931,2489862,
营业收入(万元),9545306,9338963,6460776,5912432,6189029,7019433,7522746,7759814,7238187,6067238,4794292,3683576,3282931,2489862,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
营业总成本(万元),9115898,9146386,6324619,5517751,5793323,6672786,6838330,7301612,7020591,5715538,4557884,3763675,2704091,2004146,
营业成本(万元),7916246,7875595,5376258,4361650,4240621,4909913,5407777,6072232,5984434,4942796,3942507,3244338,2363097,1755237,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
研发费用(万元),2965,1322,--,--,--,--,--,--,--,--,--,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
营业税金及附加(万元),130463,136961,86410,86296,69473,68334,74629,66997,56865,39538,38230,33353,35299,27949,
销售费用(万元),5065,5743,6693,17753,20378,52344,54576,56014,61194,19226,17404,245,2169,0,
管理费用(万元),349335,307994,216923,384969,379723,456961,359180,256778,218906,184647,152000,126347,105919,85192,
财务费用(万元),711825,754477,585955,669796,789827,861560,815786,849636,699218,533512,407743,357280,197608,135769,
资产减值损失(万元),--,48945,52381,-2712,293300,323675,126381,-45,-26,-4182,--,2112,--,0,
公允价值变动收益(万元),-5407,24215,--,--,--,--,--,--,--,--,--,-855,-3602,2365,
投资收益(万元),287805,152827,134824,-306356,120245,96748,114424,251101,102579,68661,44782,132757,16045,3755,
对联营企业和合营企业的投资收益(万元),157456,136579,91364,111425,94097,73902,81097,72823,91703,57422,29313,37052,10839,946,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
营业利润(万元),515079,408565,331482,88325,515951,443395,798840,709304,320174,420361,281191,51803,591283,491836,
营业外收入(万元),35167,33354,9288,58774,174138,101464,26770,48258,50074,46627,33316,17200,1874,1730,
营业外支出(万元),81447,25092,7996,23076,33278,23692,15231,3550,4969,4600,4706,1230,9257,10369,
非流动资产处置损失(万元),--,--,--,1124,2039,21,2249,202,43,3,3282,--,6080,127,
利润总额(万元),468799,416827,332774,124023,656811,521167,810379,754011,365279,462388,309800,67774,583899,483197,
所得税费用(万元),171073,137818,87828,-76825,328475,328561,235673,136220,66343,88416,63090,6133,143039,108186,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,
净利润(万元),297727,279009,244946,200848,328335,192607,574706,617791,298936,373972,246710,61641,440860,375011,
归属于母公司所有者的净利润(万元),106581,123471,171181,-262333,280903,179836,352689,400782,191011,247368,147947,82277,341114,291839,
被合并方在合并前实现净利润(万元),--,-18614,--,--,--,--,--,--,--,--,-1403,--,--,0,
少数股东损益(万元),191146,155538,73765,463181,47432,12771,222017,217009,107925,126604,98763,-20636,99746,83172,
基本每股收益,0.03,0.07,0.13,-0.2,0.21,0.14,0.27,0.3,0.15,0.2,0.13,0.07,0.29,0.28,
稀释每股收益,0.03,0.07,0.13,-0.2,0.21,0.14,0.27,0.3,0.15,0.2,0.13,0.07,0.29,0.27,
