报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),386052,367159,393026,444549,317646,5778,14998,17463,18926,29431,46987,16665,44599,24887,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),234198,--,--,--,--,1332,814,750,1388,980,773,3463,1340,57,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),--,19654,10967,8251,1711,122,257,617,1784,1225,351,670,4632,2389,
应收账款(万元),416953,482308,298025,216176,218165,3056,2046,14025,12713,14749,16160,21005,32164,32362,
预付款项(万元),86715,137377,72679,70966,60432,720,369,4039,1744,1117,416,962,2804,1891,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),--,610,39085,30221,20342,--,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),6028,9516,6953,10717,494712,742,3266,1591,1271,1943,953,1638,2067,1633,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),419,291,700,--,--,1077,1968,10133,15750,18917,18322,23752,34521,45084,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),6569,186504,294999,206285,0,101,705,--,--,10,2,0,10,18,
流动资产合计(万元),1151063,1203420,1116432,987166,1113010,12927,24423,48617,53577,68371,84116,68194,122136,108322,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),--,290236,206911,129584,45071,1449,--,--,--,--,0,0,0,3160,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
