报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
销售商品、提供劳务收到的现金(万元),19137851,18808331,16608279,12776356,14484072,14110206,15058638,15080948,14516107,11789386,8747094,7607070,5735953,5136437,
客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
收到的税费返还(万元),12900,24017,10916,6811,7907,10125,25220,19172,9571,2978,3375,0,0,0,
收到的其他与经营活动有关的现金(万元),107640,143815,133385,58737,129989,86863,96498,133253,175958,69197,23463,43788,19439,15987,
经营活动现金流入小计(万元),19258392,18976163,16752580,12841904,14621968,14207194,15180357,15233373,14701636,11861561,8773932,7650858,5755392,5152424,
购买商品、接受劳务支付的现金(万元),12926447,13870927,11729370,7442492,7818866,8632001,8975564,11003487,11510659,9028950,6085762,6222701,3413863,2733859,
客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
支付给职工以及为职工支付的现金(万元),1347895,1086858,1003082,763299,739678,620823,573095,529722,486871,419686,377079,331289,300925,278888,
支付的各项税费(万元),1021923,929875,940180,1349794,1712458,1460487,1435236,856510,505246,513794,618466,494156,655264,620118,
支付的其他与经营活动有关的现金(万元),229707,199313,160213,135237,114697,161876,172518,150846,103945,92459,93681,84123,163199,133667,
经营活动现金流出小计(万元),15525972,16086974,13832844,9690822,10385698,10875187,11156414,12540564,12606720,10054889,7174988,7132269,4533251,3766531,
经营活动产生的现金流量净额(万元),3732419,2889189,2919736,3151082,4236271,3332007,4023943,2692808,2094915,1806672,1598944,518589,1222140,1385893,
收回投资所收到的现金(万元),58127,--,310504,147430,--,38470,10278,10000,10426,--,--,25426,60395,276,
取得投资收益所收到的现金(万元),133630,61859,141938,105764,93719,56533,40817,72875,44765,31521,54018,38185,51893,48262,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),46454,12718,28661,14435,10901,7071,16646,94947,8560,10582,3927,2534,27013,3218,
处置子公司及其他营业单位收到的现金净额(万元),--,--,53044,15742,--,50381,620,--,--,--,--,0,0,0,
收到的其他与投资活动有关的现金(万元),55083,69479,7976,7775,6843,7097,20924,14344,6811,3815,440,1247,0,17,
减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资活动现金流入小计(万元),293295,144056,542123,291146,111463,159552,92945,192166,70562,45917,58385,67392,139301,51772,
