报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),4296271,4728178,6810488,4550309,3680167,1619392,994376,555648,357428,5898,8383,4012,5614,8091,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,163,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),39,--,--,6,189,--,--,110,--,141,82,--,97,196,
应收账款(万元),4687104,3443766,1891032,950078,717748,513748,174429,141102,30552,2810,1888,3888,4666,6530,
预付款项(万元),462865,320079,162045,355133,253936,298332,239625,130024,150650,467,1584,1469,2207,3206,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),36352,28079,52199,19216,--,--,--,--,--,--,0,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他应收款(万元),1504465,1305114,1058730,693674,201278,94664,100633,137472,66018,1050,1750,643,2026,2381,
应收出口退税(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
存货(万元),29028139,25452268,22979439,14734475,10062120,7831603,5405776,3228021,2066504,4615,3427,5970,8875,6399,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动资产(万元),370532,201561,624045,300000,70239,90600,--,--,--,--,0,--,--,--,
